category_id,sub_category_id,category,sub_category,relation_type,linker
1,1,CONTRAST,OPPOSITION,attack,albeit
1,2,CONTRAST,OPPOSITION,attack,as against
1,3,CONTRAST,OPPOSITION,attack,as opposed to
1,4,CONTRAST,OPPOSITION,attack,but
1,5,CONTRAST,OPPOSITION,attack,by contrast
1,6,CONTRAST,OPPOSITION,attack,contrasted to
1,7,CONTRAST,OPPOSITION,attack,contrasted with
1,8,CONTRAST,OPPOSITION,attack,differently
1,9,CONTRAST,OPPOSITION,attack,differently to
1,10,CONTRAST,OPPOSITION,attack,except
1,11,CONTRAST,OPPOSITION,attack,except for
1,12,CONTRAST,OPPOSITION,attack,except that
1,13,CONTRAST,OPPOSITION,attack,however
1,14,CONTRAST,OPPOSITION,attack,in a different way
1,15,CONTRAST,OPPOSITION,attack,in contrast to
1,16,CONTRAST,OPPOSITION,attack,in contrast with
1,17,CONTRAST,OPPOSITION,attack,nevertheless
1,18,CONTRAST,OPPOSITION,attack,nonetheless
1,19,CONTRAST,OPPOSITION,attack,on the contrary
1,20,CONTRAST,OPPOSITION,attack,still
1,21,CONTRAST,OPPOSITION,attack,to the contrary
1,22,CONTRAST,OPPOSITION,attack,yet
2,1,CONTRAST,CONCESSION,attack,after all
2,2,CONTRAST,CONCESSION,attack,all the same
2,3,CONTRAST,CONCESSION,attack,although
2,4,CONTRAST,CONCESSION,attack,despite
2,5,CONTRAST,CONCESSION,attack,despite that
2,6,CONTRAST,CONCESSION,attack,despite the fact that
2,7,CONTRAST,CONCESSION,attack,even
2,8,CONTRAST,CONCESSION,attack,even if
2,9,CONTRAST,CONCESSION,attack,even so
2,10,CONTRAST,CONCESSION,attack,even though
2,11,CONTRAST,CONCESSION,attack,in despite of
2,12,CONTRAST,CONCESSION,attack,in spite of
2,13,CONTRAST,CONCESSION,attack,notwithstanding
2,14,CONTRAST,CONCESSION,attack,regardless
2,15,CONTRAST,CONCESSION,attack,regardless of
2,16,CONTRAST,CONCESSION,attack,though
3,1,CONTRAST,COMPARISON,support/attack,at the same time
3,2,CONTRAST,COMPARISON,support/attack,compared to
3,3,CONTRAST,COMPARISON,support/attack,compared with
3,4,CONTRAST,COMPARISON,support/attack,in comparison to
3,5,CONTRAST,COMPARISON,support/attack,in comparison with
3,6,CONTRAST,COMPARISON,support/attack,whereas
3,7,CONTRAST,COMPARISON,support/attack,while
4,1,CONTRAST,ALTERNATIVE,support/attack,alternatively
4,2,CONTRAST,ALTERNATIVE,support/attack,alternatively to
4,3,CONTRAST,ALTERNATIVE,support/attack,as an alternative
4,4,CONTRAST,ALTERNATIVE,support/attack,conversely
4,5,CONTRAST,ALTERNATIVE,support/attack,else
4,6,CONTRAST,ALTERNATIVE,support/attack,if it is not the case
4,7,CONTRAST,ALTERNATIVE,support/attack,if not
4,8,CONTRAST,ALTERNATIVE,support/attack,if that is not the case
4,9,CONTRAST,ALTERNATIVE,support/attack,if this is not the case
4,10,CONTRAST,ALTERNATIVE,support/attack,in another case
4,11,CONTRAST,ALTERNATIVE,support/attack,in other cases
4,12,CONTRAST,ALTERNATIVE,support/attack,instead
4,13,CONTRAST,ALTERNATIVE,support/attack,instead of
4,14,CONTRAST,ALTERNATIVE,support/attack,on one hand
4,15,CONTRAST,ALTERNATIVE,support/attack,on the one hand
4,16,CONTRAST,ALTERNATIVE,support/attack,on the other hand
4,17,CONTRAST,ALTERNATIVE,support/attack,or
4,18,CONTRAST,ALTERNATIVE,support/attack,or else
4,19,CONTRAST,ALTERNATIVE,support/attack,otherwise
4,20,CONTRAST,ALTERNATIVE,support/attack,rather than
4,21,CONTRAST,ALTERNATIVE,support/attack,then again
5,1,CAUSE,REASON,support,according to
5,2,CAUSE,REASON,support,as
5,3,CAUSE,REASON,support,based on
5,4,CAUSE,REASON,support,because
5,5,CAUSE,REASON,support,because of
5,6,CAUSE,REASON,support,by means of
5,7,CAUSE,REASON,support,due to
5,8,CAUSE,REASON,support,forasmuch as
5,9,CAUSE,REASON,support,given that
5,10,CAUSE,REASON,support,giving that
5,11,CAUSE,REASON,support,on the grounds that
5,12,CAUSE,REASON,support,provided that
5,13,CAUSE,REASON,support,providing that
5,14,CAUSE,REASON,support,since
5,15,CAUSE,REASON,support,thanks to
5,16,CAUSE,REASON,support,through
6,1,CAUSE,CONDITION,qualifier,as long as
6,2,CAUSE,CONDITION,qualifier,assuming
6,3,CAUSE,CONDITION,qualifier,assuming that
6,4,CAUSE,CONDITION,qualifier,conditioned to
6,5,CAUSE,CONDITION,qualifier,considering
6,6,CAUSE,CONDITION,qualifier,considering that
6,7,CAUSE,CONDITION,qualifier,if
6,8,CAUSE,CONDITION,qualifier,if ever
6,9,CAUSE,CONDITION,qualifier,if so
6,10,CAUSE,CONDITION,qualifier,in case
6,11,CAUSE,CONDITION,qualifier,in case of
6,12,CAUSE,CONDITION,qualifier,in case that
6,13,CAUSE,CONDITION,qualifier,in such a case
6,14,CAUSE,CONDITION,qualifier,in that case
6,15,CAUSE,CONDITION,qualifier,in the case of
6,16,CAUSE,CONDITION,qualifier,in the case that
6,17,CAUSE,CONDITION,qualifier,insomuch af
6,18,CAUSE,CONDITION,qualifier,let us assume
6,19,CAUSE,CONDITION,qualifier,let us assume that
6,20,CAUSE,CONDITION,qualifier,let us consider
6,21,CAUSE,CONDITION,qualifier,let us consider that
6,22,CAUSE,CONDITION,qualifier,let us suppose
6,23,CAUSE,CONDITION,qualifier,let us suppose that
6,24,CAUSE,CONDITION,qualifier,on condition that
6,25,CAUSE,CONDITION,qualifier,on the condition
6,26,CAUSE,CONDITION,qualifier,supposing
6,27,CAUSE,CONDITION,qualifier,supposing that
6,28,CAUSE,CONDITION,qualifier,taking into account
6,29,CAUSE,CONDITION,qualifier,taking into consideration
6,30,CAUSE,CONDITION,qualifier,unless
7,1,CONSEQUENCE,RESULT,support,accordingly
7,2,CONSEQUENCE,RESULT,support,as a consequence
7,3,CONSEQUENCE,RESULT,support,as a result
7,4,CONSEQUENCE,RESULT,support,as a result of
7,5,CONSEQUENCE,RESULT,support,by that means
7,6,CONSEQUENCE,RESULT,support,consequently
7,7,CONSEQUENCE,RESULT,support,for such reason
7,8,CONSEQUENCE,RESULT,support,for such reasons
7,9,CONSEQUENCE,RESULT,support,for that reason
7,10,CONSEQUENCE,RESULT,support,for these reasons
7,11,CONSEQUENCE,RESULT,support,for this reason
7,12,CONSEQUENCE,RESULT,support,for those reasons
7,13,CONSEQUENCE,RESULT,support,hence
7,14,CONSEQUENCE,RESULT,support,in consequence
7,15,CONSEQUENCE,RESULT,support,so
7,16,CONSEQUENCE,RESULT,support,so that
7,17,CONSEQUENCE,RESULT,support,that is why
7,18,CONSEQUENCE,RESULT,support,then
7,19,CONSEQUENCE,RESULT,support,thereby
7,20,CONSEQUENCE,RESULT,support,therefore
7,21,CONSEQUENCE,RESULT,support,thus
8,1,CONSEQUENCE,GOAL,support,aimed to
8,2,CONSEQUENCE,GOAL,support,aiming to
8,3,CONSEQUENCE,GOAL,support,for
8,4,CONSEQUENCE,GOAL,support,in order to
8,5,CONSEQUENCE,GOAL,support,that allow
8,6,CONSEQUENCE,GOAL,support,that allows
8,7,CONSEQUENCE,GOAL,support,that entail
8,8,CONSEQUENCE,GOAL,support,that entails
8,9,CONSEQUENCE,GOAL,support,that implies
8,10,CONSEQUENCE,GOAL,support,that imply
8,11,CONSEQUENCE,GOAL,support,to
8,12,CONSEQUENCE,GOAL,support,which allow
8,13,CONSEQUENCE,GOAL,support,which allows
8,14,CONSEQUENCE,GOAL,support,which entail
8,15,CONSEQUENCE,GOAL,support,which entails
8,16,CONSEQUENCE,GOAL,support,which implies
8,17,CONSEQUENCE,GOAL,support,which imply
8,18,CONSEQUENCE,GOAL,support,which let
8,19,CONSEQUENCE,GOAL,support,which lets
9,1,CONSEQUENCE,EXPLANATION,support,actually
9,2,CONSEQUENCE,EXPLANATION,support,for that matter
9,3,CONSEQUENCE,EXPLANATION,support,in actual fact
9,4,CONSEQUENCE,EXPLANATION,support,in fact
9,5,CONSEQUENCE,EXPLANATION,support,indeed
9,6,CONSEQUENCE,EXPLANATION,support,of course
10,1,CLARIFICATION,RESTATEMENT,support,in any case
10,2,CLARIFICATION,RESTATEMENT,support,in other words
10,3,CLARIFICATION,RESTATEMENT,support,put differently
10,4,CLARIFICATION,RESTATEMENT,support,that is
10,5,CLARIFICATION,RESTATEMENT,support,that is to say
10,6,CLARIFICATION,RESTATEMENT,support,to put it another way
11,1,CLARIFICATION,EXEMPLIFICATION,support,as an example
11,2,CLARIFICATION,EXEMPLIFICATION,support,for example
11,3,CLARIFICATION,EXEMPLIFICATION,support,for instance
11,4,CLARIFICATION,EXEMPLIFICATION,support,one example
11,5,CLARIFICATION,EXEMPLIFICATION,support,one such example
11,6,CLARIFICATION,EXEMPLIFICATION,support,such as
11,7,CLARIFICATION,EXEMPLIFICATION,support,to give an example
11,8,CLARIFICATION,EXEMPLIFICATION,support,to take an example
12,1,CLARIFICATION,SUMMARY,support,in a few words
12,2,CLARIFICATION,SUMMARY,support,in a nutshell
12,3,CLARIFICATION,SUMMARY,support,in brief
12,4,CLARIFICATION,SUMMARY,support,in short
12,5,CLARIFICATION,SUMMARY,support,in sum
12,6,CLARIFICATION,SUMMARY,support,in summary
12,7,CLARIFICATION,SUMMARY,support,summarazing
12,8,CLARIFICATION,SUMMARY,support,summarising
12,9,CLARIFICATION,SUMMARY,support,summing up
12,10,CLARIFICATION,SUMMARY,support,to sum up
12,11,CLARIFICATION,SUMMARY,support,to summarise
12,12,CLARIFICATION,SUMMARY,support,to summarize
13,1,CLARIFICATION,CONCLUSION,support,all aspects considered
13,2,CLARIFICATION,CONCLUSION,support,all in all
13,3,CLARIFICATION,CONCLUSION,support,all options considered
13,4,CLARIFICATION,CONCLUSION,support,all possibilities considered
13,5,CLARIFICATION,CONCLUSION,support,all things considered
13,6,CLARIFICATION,CONCLUSION,support,as concluding remarks
13,7,CLARIFICATION,CONCLUSION,support,as conclusion
13,8,CLARIFICATION,CONCLUSION,support,as conclusions
13,9,CLARIFICATION,CONCLUSION,support,as final conclusion
13,10,CLARIFICATION,CONCLUSION,support,as final conclusions
13,11,CLARIFICATION,CONCLUSION,support,as final remarks
13,12,CLARIFICATION,CONCLUSION,support,concluding
13,13,CLARIFICATION,CONCLUSION,support,considered all aspects
13,14,CLARIFICATION,CONCLUSION,support,considered all options
13,15,CLARIFICATION,CONCLUSION,support,considered all possibilities
13,16,CLARIFICATION,CONCLUSION,support,considered all things
13,17,CLARIFICATION,CONCLUSION,support,in conclusion
13,18,CLARIFICATION,CONCLUSION,support,to conclude
14,1,ELABORATION,PRECISION,support,above all
14,2,ELABORATION,PRECISION,support,especially
14,3,ELABORATION,PRECISION,support,exceptionally
14,4,ELABORATION,PRECISION,support,in particular
14,5,ELABORATION,PRECISION,support,mainly
14,6,ELABORATION,PRECISION,support,more precisely
14,7,ELABORATION,PRECISION,support,more specifically
14,8,ELABORATION,PRECISION,support,particularly
14,9,ELABORATION,PRECISION,support,precisely
14,10,ELABORATION,PRECISION,support,principally
14,11,ELABORATION,PRECISION,support,specifically
15,1,ELABORATION,SIMILARITY,support,as well as
15,2,ELABORATION,SIMILARITY,support,correspondingly
15,3,ELABORATION,SIMILARITY,support,in the same way
15,4,ELABORATION,SIMILARITY,support,like
15,5,ELABORATION,SIMILARITY,support,likewise
15,6,ELABORATION,SIMILARITY,support,similar to
15,7,ELABORATION,SIMILARITY,support,similarly
15,8,ELABORATION,SIMILARITY,support,similarly to
16,1,ELABORATION,ADDITION,support,additionally
16,2,ELABORATION,ADDITION,support,additionally to
16,3,ELABORATION,ADDITION,support,also
16,4,ELABORATION,ADDITION,support,apart from
16,5,ELABORATION,ADDITION,support,as well
16,6,ELABORATION,ADDITION,support,aside
16,7,ELABORATION,ADDITION,support,aside from
16,8,ELABORATION,ADDITION,support,besides
16,9,ELABORATION,ADDITION,support,furthermore
16,10,ELABORATION,ADDITION,support,in addition
16,11,ELABORATION,ADDITION,support,in addition to
16,12,ELABORATION,ADDITION,support,moreover
16,13,ELABORATION,ADDITION,support,over and above
16,14,ELABORATION,ADDITION,support,too
16,15,ELABORATION,ADDITION,support,what is more
