category_id,sub_category_id,category,sub_category,relation_type,linker
1,1,CONTRAST,OPPOSITION,attack,a diferencia de
1,2,CONTRAST,OPPOSITION,attack,a diferencia de la
1,3,CONTRAST,OPPOSITION,attack,a diferencia de las
1,4,CONTRAST,OPPOSITION,attack,a diferencia de los
1,5,CONTRAST,OPPOSITION,attack,a diferencia del
1,6,CONTRAST,OPPOSITION,attack,a diferencia del hecho de
1,7,CONTRAST,OPPOSITION,attack,a diferencia del hecho de que
1,8,CONTRAST,OPPOSITION,attack,al contrario
1,9,CONTRAST,OPPOSITION,attack,al contrario de
1,10,CONTRAST,OPPOSITION,attack,al contrario de la
1,11,CONTRAST,OPPOSITION,attack,al contrario de las
1,12,CONTRAST,OPPOSITION,attack,al contrario de los
1,13,CONTRAST,OPPOSITION,attack,al contrario del
1,14,CONTRAST,OPPOSITION,attack,al contrario del hecho de
1,15,CONTRAST,OPPOSITION,attack,al contrario del hecho de que
1,16,CONTRAST,OPPOSITION,attack,al contrario que
1,17,CONTRAST,OPPOSITION,attack,al revés de
1,18,CONTRAST,OPPOSITION,attack,al revés de la
1,19,CONTRAST,OPPOSITION,attack,al revés de las
1,20,CONTRAST,OPPOSITION,attack,al revés de los
1,21,CONTRAST,OPPOSITION,attack,al revés del
1,22,CONTRAST,OPPOSITION,attack,al revés del hecho de
1,23,CONTRAST,OPPOSITION,attack,al revés del hecho de que
1,24,CONTRAST,OPPOSITION,attack,constrastada con
1,25,CONTRAST,OPPOSITION,attack,constrastado con
1,26,CONTRAST,OPPOSITION,attack,contrariamente
1,27,CONTRAST,OPPOSITION,attack,de forma diferente
1,28,CONTRAST,OPPOSITION,attack,de forma diferente a
1,29,CONTRAST,OPPOSITION,attack,de forma diferente a la
1,30,CONTRAST,OPPOSITION,attack,de forma diferente a las
1,31,CONTRAST,OPPOSITION,attack,de forma diferente a los
1,32,CONTRAST,OPPOSITION,attack,de forma diferente al
1,33,CONTRAST,OPPOSITION,attack,de forma diferente al hecho de
1,34,CONTRAST,OPPOSITION,attack,de forma diferente al hecho de que
1,35,CONTRAST,OPPOSITION,attack,de forma opuesta a
1,36,CONTRAST,OPPOSITION,attack,de forma opuesta a la
1,37,CONTRAST,OPPOSITION,attack,de forma opuesta a las
1,38,CONTRAST,OPPOSITION,attack,de forma opuesta a los
1,39,CONTRAST,OPPOSITION,attack,de forma opuesta al
1,40,CONTRAST,OPPOSITION,attack,de forma opuesta al hecho de
1,41,CONTRAST,OPPOSITION,attack,de forma opuesta al hecho de que
1,42,CONTRAST,OPPOSITION,attack,de lo contrario
1,43,CONTRAST,OPPOSITION,attack,de modo diferente
1,44,CONTRAST,OPPOSITION,attack,de modo diferente a
1,45,CONTRAST,OPPOSITION,attack,de modo diferente a la
1,46,CONTRAST,OPPOSITION,attack,de modo diferente a las
1,47,CONTRAST,OPPOSITION,attack,de modo diferente a los
1,48,CONTRAST,OPPOSITION,attack,de modo diferente al
1,49,CONTRAST,OPPOSITION,attack,de modo diferente al hecho de
1,50,CONTRAST,OPPOSITION,attack,de modo diferente al hecho de que
1,51,CONTRAST,OPPOSITION,attack,de modo opuesto a
1,52,CONTRAST,OPPOSITION,attack,de modo opuesto a la
1,53,CONTRAST,OPPOSITION,attack,de modo opuesto a las
1,54,CONTRAST,OPPOSITION,attack,de modo opuesto a los
1,55,CONTRAST,OPPOSITION,attack,de modo opuesto al
1,56,CONTRAST,OPPOSITION,attack,de modo opuesto al hecho de
1,57,CONTRAST,OPPOSITION,attack,de modo opuesto al hecho de que
1,58,CONTRAST,OPPOSITION,attack,diferentemente
1,59,CONTRAST,OPPOSITION,attack,diferentemente a
1,60,CONTRAST,OPPOSITION,attack,en caso contrario
1,61,CONTRAST,OPPOSITION,attack,en contra de
1,62,CONTRAST,OPPOSITION,attack,en contra de la
1,63,CONTRAST,OPPOSITION,attack,en contra de las
1,64,CONTRAST,OPPOSITION,attack,en contra de los
1,65,CONTRAST,OPPOSITION,attack,en contra del
1,66,CONTRAST,OPPOSITION,attack,en contra del hecho de
1,67,CONTRAST,OPPOSITION,attack,en contra del hecho de que
1,68,CONTRAST,OPPOSITION,attack,en contraste con
1,69,CONTRAST,OPPOSITION,attack,en oposición a
1,70,CONTRAST,OPPOSITION,attack,en oposición a la
1,71,CONTRAST,OPPOSITION,attack,en oposición a las
1,72,CONTRAST,OPPOSITION,attack,en oposición a los
1,73,CONTRAST,OPPOSITION,attack,en oposición al
1,74,CONTRAST,OPPOSITION,attack,en oposición al hecho de
1,75,CONTRAST,OPPOSITION,attack,en oposición al hecho de que
1,76,CONTRAST,OPPOSITION,attack,excepto
1,77,CONTRAST,OPPOSITION,attack,excepto que
1,78,CONTRAST,OPPOSITION,attack,no obstante
1,79,CONTRAST,OPPOSITION,attack,pero
1,80,CONTRAST,OPPOSITION,attack,por el contrario
1,81,CONTRAST,OPPOSITION,attack,por más que
1,82,CONTRAST,OPPOSITION,attack,sin embargo
1,83,CONTRAST,OPPOSITION,attack,sino
1,84,CONTRAST,OPPOSITION,attack,sino que
2,1,CONTRAST,CONCESSION,attack,a pesar de
2,2,CONTRAST,CONCESSION,attack,a pesar de la
2,3,CONTRAST,CONCESSION,attack,a pesar de las
2,4,CONTRAST,CONCESSION,attack,a pesar de los
2,5,CONTRAST,CONCESSION,attack,a pesar de que
2,6,CONTRAST,CONCESSION,attack,a pesar de todo
2,7,CONTRAST,CONCESSION,attack,a pesar del
2,8,CONTRAST,CONCESSION,attack,a pesar del hecho de
2,9,CONTRAST,CONCESSION,attack,a pesar del hecho de que
2,10,CONTRAST,CONCESSION,attack,aun así
2,11,CONTRAST,CONCESSION,attack,aun si
2,12,CONTRAST,CONCESSION,attack,aunque
2,13,CONTRAST,CONCESSION,attack,con todo
2,14,CONTRAST,CONCESSION,attack,de cualquier forma
2,15,CONTRAST,CONCESSION,attack,de cualquier manera
2,16,CONTRAST,CONCESSION,attack,de cualquier modo
2,17,CONTRAST,CONCESSION,attack,de todas formas
