argument_id,proposal_id,aspect_name,aspect_description,argument_type,argument
1,7,Educación y concienciación ciudadana,La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.,support,El ideal sería vivir sin necesidad de tener un policía y un barrendero detrás de nosotros.
2,7,Educación y concienciación ciudadana,La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.,support,"Hay que educar a los ciudadanos, aunque sea a base de multas."
3,7,Educación y concienciación ciudadana,La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.,support,Eduquense y no ensucien tanto.
4,7,Educación y concienciación ciudadana,La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.,attack,"Hola, en mi opinión no me parece una prioridad a día de hoy."
5,7,Educación y concienciación ciudadana,La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.,attack,"Madrid es una ciudad sucia, no por falta de limpieza, pero sí por falta de educación."
6,7,Gestión y políticas de limpieza,La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.,support,"Una de las principales pautas por las que valoraré al nuevo gobierno, al que he votado, es por la limpieza."
7,7,Gestión y políticas de limpieza,La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.,support,"Espero que acabe, lo antes posible, con la dejadez que nos han dejado los anteriores desgobiernos de Madrid."
8,7,Gestión y políticas de limpieza,La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.,attack,El Ayuntamiento debería anular el contrato de limpieza de la ciudad.
9,7,Gestión y políticas de limpieza,La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.,attack,La gestión en cuanto a limpieza ha sido y sigue siendo más que pésima.
10,7,Gestión y políticas de limpieza,La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.,attack,"El Ayuntamiento está tan ocupado leyendo propuestas y escuchando a sus ciudadanos, que se olvida de los que son sus obligaciones fundamentales, prestar servicios públicos de calidad a los ciudadanos."
11,7,Infraestructura y recursos,La adecuación de la infraestructura y recursos disponibles para la limpieza de las calles.,support,"Necesitamos muchos camiones con mangueras de agua, barrer no es suficiente."
12,7,Infraestructura y recursos,La adecuación de la infraestructura y recursos disponibles para la limpieza de las calles.,support,Las calles apestan.
13,7,Estado actual de las calles,La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.,support,Es lamentable el estado de las calles en la zona centro de Madrid.
14,7,Estado actual de las calles,La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.,support,Las únicas calles que se limpian son Espítu Santo y Manuela Malasaña.
15,7,Estado actual de las calles,La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.,attack,"Hasta el centro esta sucio, la periferia Valdebernardo ya da asco."
16,7,Estado actual de las calles,La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.,attack,"La basura algún día ni la recogen, basura fuera de los contenedores días y días."
17,7,Estado actual de las calles,La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.,attack,¿Qué está pasando?
18,7,Sanciones y multas,La implementación de sanciones y multas como medida para mejorar la limpieza de las calles.,support,Propuesta relacionada: multar por los excrementos de los perros.
19,7,Sanciones y multas,La implementación de sanciones y multas como medida para mejorar la limpieza de las calles.,support,"Totalmente de acuerdo, educar y sancionar y mientras tanto limpiar y limpiar."
20,7,Sanciones y multas,La implementación de sanciones y multas como medida para mejorar la limpieza de las calles.,support,"Además de la obvia necesidad de limpiar las calles a fondo especialmente del centro, que manifiesta un estado lamentable es necesario un plan global que eduque en colegios y barrios, informe en las calles a vecinos, transeúntes y colectivos y, como paso transitorio a la normalización, sancione a quien orine, escupa y defeque en la vía pública, no recoja los excrementos de sus animales y permita que estos orinen en portales y macetas, tire papeles, chicles, colillas o cualquier objeto que ensucie la vía y no participe en el correcto proceso de reciclaje."
21,7,Sanciones y multas,La implementación de sanciones y multas como medida para mejorar la limpieza de las calles.,attack,La normativa ya existe ¿Por qué no se hace cumplir? ¿Por qué se hace la vista gorda?
22,7,Participación ciudadana,El rol de la participación ciudadana en la mejora de la limpieza y mantenimiento de las calles.,support,"Propongo que salgas con una escoba y empieces a limpiar, detrás iré yo, te lo prometo."
23,7,Participación ciudadana,El rol de la participación ciudadana en la mejora de la limpieza y mantenimiento de las calles.,support,"Demos tiempo al nuevo gobierno para que puedan estudiar, dialogar y llegar a las mejores soluciones para que Madrid brille!"
24,7,Participación ciudadana,El rol de la participación ciudadana en la mejora de la limpieza y mantenimiento de las calles.,attack,"Como nos gusta exigir! Es como tener un hijo y a los 3 días de colegio ya le exigimos que nos traiga las notas con un 10. Seamos sensatos, la culpa no es del nuevo gobierno, sino del anterior y su política de privatización de servicios a través de un contrato a 10 años!"
25,7,Participación ciudadana,El rol de la participación ciudadana en la mejora de la limpieza y mantenimiento de las calles.,attack,"Votado, totalmente de acuerdo. También influye que a la vez que se han hecho recortes, hay mucha gente que no respeta las normas de limpieza."
26,7,Conciencia medioambiental,La importancia de fomentar una mayor conciencia medioambiental entre los ciudadanos.,support,Un poquito de conciencia social y sentido común bastaría.
27,7,Conciencia medioambiental,La importancia de fomentar una mayor conciencia medioambiental entre los ciudadanos.,support,"Lo primero es la concienciación, la información y la educación cívica y medioambiental pero la situación de Madrid empieza a exigir medidas excepcionales en esta materia."
