"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"2","4","5","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"3","6","7","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"4","9","10","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"5","12","13","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"6","15","16","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"7","17","18","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"8","19","20","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"9","19","21","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"10","19","22","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"11","24","25","cause: reason","support","andres.segura","2022-12-15 20:13:15"
"12","32","33","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"13","37","38","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"14","42","43","cause: reason","support","andres.segura","2022-12-15 20:13:15"
"15","44","45","cause: condition","support","andres.segura","2022-12-15 20:13:15"
"16","45","46","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"17","46","47","clarification: restatement","support","andres.segura","2022-12-15 20:13:15"
"18","47","48","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"19","49","50","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
