"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Plan integral contra grafitis","major claim","andres.segura","2022-12-15 20:38:29"
"2","Limpieza integral de las paredes y cierres grafiteados. Vigilancia real por parte de la policía. Disuadir a los infractores con multas o trabajos comunitarios. Lugares dedicados para grafitis.","major claim","andres.segura","2022-12-15 20:38:29"
"3","Propongo un plan integral para atajar este problema, se me ocurren algunas líneas de acción, estoy seguro que el ayuntamiento Y los ciudadanos podréis mejorarlas.","major claim","andres.segura","2022-12-15 20:38:29"
"4","Limpieza integral de fachadas y cierres metálicos.","major claim","andres.segura","2022-12-15 20:38:29"
"5","Patrullas de vigilancia de incógnito que permita pillar in fraganti a los grafiteros. - Brigada de investigación de este delito.","major claim","andres.segura","2022-12-15 20:38:29"
"6","Un programa de castigo no tienen por qué ser multas a los infractores, con servicios a la comunidad que impidan la reincidencia.","major claim","andres.segura","2022-12-15 20:38:29"
"7","Colaboración con la Comunidad de Madrid.","major claim","andres.segura","2022-12-15 20:38:29"
"8","Por supuesto que hay que poner multas, la sanción es el único método disuasorio eficaz, y trabajos sociales que consistan en limpiar su propia pintada, y costeando ellos los productos de limpieza,","claim","andres.segura","2022-12-15 20:38:29"
"9","para que se den cuenta de lo que cuest, tanto en dinero como en trabajo, la limpieza de las mismas.","premise","andres.segura","2022-12-15 20:38:29"
"10","También es una cuestión económica: limpiar los grafitis nos cuesta a los madrileños 12 millones al año: .","claim","andres.segura","2022-12-15 20:38:29"
"11","Los grafitis, o más bien arte urbano, también pueden ser una forma de poner en valor zonas degradadas.","claim","andres.segura","2022-12-15 20:38:29"
"12","Considero que un garabato en una fachada, igual da su dimensión, no es arte.","claim","andres.segura","2022-12-15 20:38:29"
"13","Pero reconozcamos que hay auténticos artistas y urbanos que necesitan espacios donde expresar este arte callejero.","premise","andres.segura","2022-12-15 20:38:29"
"14","Hay que concienciar de que el espacio público y las fincas privadas no pueden ser lienzos de sus obras, nos gusten estas o no.","claim","andres.segura","2022-12-15 20:38:29"
"15","Creo más edificante y efectivo los trabajos comunitarios.","claim","andres.segura","2022-12-15 20:38:29"
"16","No me opongo a las multas, pero me pregunto si son escarnio suficiente cuando a muchos chavales se las pagarán papá y mamá.","premise","andres.segura","2022-12-15 20:38:29"
"17","Debería haber más vigilancia y multas o trabajos sociales para los infractores.","claim","andres.segura","2022-12-15 20:38:29"
"18","El tema de los grafitis es serio, en nuestra comunidad gastamos un dineral en repitar paredes, entradas de garajes, puertas de entradas.","premise","andres.segura","2022-12-15 20:38:29"
"19","Los parques parecen suburbios, están pintados los suelos, los bancos, los árboles, cualquier cosa destruyen la vegetación de los muros para pintar en ellos, dejan tirados los botes de spray por cualquier sitio, etc.","premise","andres.segura","2022-12-15 20:38:29"
"20","¿Qué opináis sobre habilitar espacios públicos para que los grafiteros que lo son de verdad desarrollen y expongan sus obras?.","claim","andres.segura","2022-12-15 20:38:29"
"21","Se debería multar económicamente y con trabajos sociales gratuitos como limpiar los grafitis a todos aquellos que ensucian un lugar privado o público sin permiso,","claim","andres.segura","2022-12-15 20:38:29"
"22","ya que hay auténticos artistas a los que se les debería pagar por hacer dibujos muy bonitos en puertas o persianas metálicas por ejemplo.","premise","andres.segura","2022-12-15 20:38:29"
"23","En otras ciudades de Europa sí que existen expresiones artísticas callejeras que, gracias a dios, han superado la fase soy un narcisista adolescente que me encanta dibujar mi logo algo que me recuerda bastante a un perro marcando su territorio","claim","andres.segura","2022-12-15 20:38:29"
"24","Para empezar deberíamos acabar de una vez con esa estúpida categoría de arte urbano y proponer un acercamiento un poquito más elegante a las formas de decorar un edificio que esté más allá de la cultura profundamente machista y xenófoba, del hip-hop.","claim","andres.segura","2022-12-15 20:38:29"
"25","es tal la situación que la única forma de controlarlo e identificar los delitos es con el uso de cctv en los muros de cada comunidad.","claim","andres.segura","2022-12-15 20:38:29"
"26","Estoy de acuerdo con tu propuesta de limpieza integral,","claim","andres.segura","2022-12-15 20:38:29"
"27","pero las brigadas de investigación y patrullas de vigilancia me parece mucha inversión para conseguir disuadir a algunos de hacer pintadas, y plan para la comunidad y lugares acondicionados estoy totalmente de acuerdo.","premise","andres.segura","2022-12-15 20:38:29"
"28","Habréis visto que la mejor manera de que no pongan la firmita dichosa es pintar un mural, muchos comercios lo han hecho.","claim","andres.segura","2022-12-15 20:38:29"
"29","Todos ganamos, los vecinos vemos murales chulos en lugar de pintadas, los grafiteros profesionales tienen su espacio para expresarse, y los que solo saben poner garabatos en las paredes, que disfruten del arte y aprendan, en lugar de manchar paredes con sus firmitas.","premise","andres.segura","2022-12-15 20:38:29"
"30","Esas pintadas ni son arte ni son nada, es mierda en las paredes que hay que quitar con productos tóxicos, y nocivos para el personal que los limpia, y muy caros que se pagan del bolsillo de los contribuyentes.","claim","andres.segura","2022-12-15 20:38:29"
"31","Sugiero lugares, gestionados por ellos mismos, para practicar el arte del grafiti y multas y trabajos para la comunidad, de varios meses de duración, al que se pille guarreando espacios ya sean públicos y privados y la colaboración ciudadana para convertir la ciudad en un lugar habitable, confortable y limpio, donde no nos haga daño a la vista esas canalladas que nada tienen de arte y sí de ataque a la propiedad.","claim","andres.segura","2022-12-15 20:38:29"
